Date,ABEV3,B3SA3,BBDC3,BBDC4,BBSE3,BEEF3,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MRFG3,MRVE3,MULT3,PETR3,PETR4,PRIO3,QUAL3,RADL3,RENT3,SANB11,SBSP3,SULA11,TAEE11,TOTS3,UGPA3,USIM5,VALE3,VIVT4,WEGE3,YDUQ3,TIMS3,SUZB3
40513,4.15,8.2,8.73,10.15,10.09,5.9,9,28,6.74,3.03,7.95,2.01,17.45,15.69,14.16,16.34,8.55,10.92,15.46,13.25,11.3,6.88,9.68,0.65,5.75,7.38,17.78,21.11,27.84,4.62,23.38,18.48,4.34,12.48,6,9.04,7.77,5.86,13.24,9.69,9.08,24.8,21.46,140,10.28,1.91,5.87,14.63,7.88,10.25,10.09,26.9,9.41,17.85,36.34,17.64,4.84,6,13.78,57.16
40514,4.18,8.13,8.81,10.26,10.35,6,9.11,29.06,6.62,3.04,7.98,2.01,17.68,15.93,14.03,16.37,8.4,10.92,15.58,13.42,11.32,6.86,9.68,0.63,5.7,7.27,18.42,21.78,28.12,4.62,22.73,18.51,4.33,12.52,6.04,9.04,7.67,5.97,13.86,9.44,8.99,24.85,21.58,148,10.35,1.91,5.97,14.76,7.82,10.25,10.08,28.45,9.44,17.79,36.73,17.77,4.88,6.1,13.49,56.5
40515,4.25,8.02,8.62,10.05,10.5,5.91,8.95,30.38,6.64,3.11,8.23,2.01,17.81,15.81,13.8,16.19,8.22,11.06,16.12,13.88,11.35,6.97,9.68,0.62,5.66,7.24,18.29,21.71,28.1,4.62,22.55,17.82,4.26,12.33,6.04,9.69,7.49,5.99,14.41,9.35,8.84,25.17,21.83,156.16,10.18,1.96,5.84,14.28,8.06,9.95,10.1,28.69,9.44,17.68,37.19,17.52,4.92,5.99,14.1,55.53
40518,4.25,8.02,8.52,9.87,10.61,5.93,8.89,29.22,6.74,3.06,8.08,2.01,17.88,16.17,13.8,16.08,8.34,10.99,15.9,13.68,11.23,6.91,9.68,0.63,5.65,7.3,18.49,21.96,27.42,4.62,21.75,18.02,4.22,12.22,5.94,9.51,7.53,5.82,13.7,9.39,8.64,25.3,21.97,162.5,10.27,1.94,5.77,13.97,8.06,10.07,10.1,29.26,9.64,18.31,37.35,17.19,4.85,6.08,13.63,53.4
40519,4.2,7.9,8.43,10.04,10.58,5.9,8.65,29.93,6.72,3.03,8.05,2.01,17.74,16.23,13.58,16.16,8.6,10.75,15.61,13.46,11.17,6.85,9.68,0.63,5.66,7.32,18.87,22.39,26.76,4.62,21.62,17.46,4.23,12.26,5.95,9.39,7.64,5.73,13.47,9.28,8.2,24.67,21.54,160,10.07,1.92,5.54,13.94,7.98,10.05,9.16,29.17,9.67,18.26,37.27,17.12,4.8,6,13.46,50.53
40520,4.24,7.72,8.45,10.01,10.35,5.93,8.39,29.81,6.5,2.99,7.92,2.01,17.63,16,13.49,15.5,8.41,10.86,15.47,13.31,11.31,6.81,9.68,0.62,5.54,7.22,18.57,21.94,26.47,4.62,21,17.45,4.17,12.14,5.89,9.55,7.58,5.71,13.47,8.98,8.17,24.39,21.24,164,10.24,1.93,5.64,13.84,8.05,9.91,10.19,28.37,9.5,17.79,36.44,17.17,4.75,5.97,13.56,50.1
40521,4.2,7.65,8.37,9.92,10.5,5.92,8.2,29.59,6.33,2.85,7.74,2.01,17.28,16.1,13.27,15.24,8.16,10.77,15.17,13.2,11.23,6.7,9.68,0.62,5.61,7.24,18.98,22.36,25.75,4.62,20.79,17.35,4.1,11.97,5.85,9.24,7.53,5.55,13.28,8.67,7.96,24.74,21.58,160,10.18,1.93,5.42,14.27,8,9.85,10.19,28.53,9.35,17.75,36.84,17.08,4.71,6.03,13.73,50.62
40522,4.25,7.66,8.35,9.89,10.59,5.94,8.3,30.27,6.37,2.83,7.7,2.01,17.15,16.21,13.39,15.36,8.16,10.83,15.47,13.4,11.23,6.75,9.68,0.63,5.66,7.41,19.78,23.17,25.69,4.62,21.46,17.45,4.1,11.97,6.16,8.93,7.4,5.45,13.59,8.75,8.2,24.95,21.83,153,10,1.94,5.62,14.35,8.19,10.05,10.31,28.69,9.36,18.05,37.3,17.11,4.56,5.95,13.77,51.23
40525,4.26,7.65,8.41,10,10.55,5.98,8.12,30.38,6.4,2.84,7.84,2.01,16.88,16.87,13.18,15.37,8.1,10.73,15.48,13.43,11.33,6.66,9.68,0.63,5.71,7.39,20.38,23.95,25.48,4.62,21.91,17.65,4.13,12.01,6.08,8.73,7.34,5.32,13.49,9.2,8.23,25.27,22.01,156,9.52,1.95,5.6,14.27,8.29,10.12,10.15,28.37,9.57,18.75,38.23,17.42,4.6,5.95,13.9,50.21
40526,4.26,7.67,8.4,10.04,10.65,5.94,8.32,29.2,6.35,2.84,7.88,2.01,16.78,16.69,13.09,15.21,8.26,10.67,15.28,13.19,11.39,6.66,9.68,0.63,5.81,7.53,19.9,23.51,25.19,4.62,21.37,17.93,4.16,12.06,6.12,8.93,7.31,5.58,13.94,9.04,8.24,25.09,21.95,154,9.61,2.01,5.52,14.13,8.28,10.38,10.15,28.37,9.62,18.43,37.9,17.12,4.73,6.08,13.83,50.74
